I	87388	87500	1	1	1	4	0	20
I	142254	142619	1	1	1	45	0	25
I	142517	182715	2	2	0	0	1	12
II	45645	45977	1	1	0	75	0	24
II	47059	47146	2	2	1	2	0	21
II	60194	60697	2	2	1	114	0	25
II	89133	89440	2	2	0	4	0	14
II	110421	110505	2	2	1	4	0	24
II	110880	110948	1	1	1	1	0	7
II	125155	125270	1	1	1	4	0	9
II	142750	142846	2	2	1	5	0	23
II	168425	168808	1	1	1	43	0	13
II	170677	170804	1	1	1	6	0	20
II	186353	186427	2	2	1	2	0	19
II	221182	226703	1	5	0	0	1	25
II	259723	265245	1	5	0	0	1	25
II	319420	355788	1	1	0	0	1	12
II	332876	333386	1	1	1	37	0	24
II	366503	366584	2	2	1	2	0	22
II	393181	393510	1	1	1	17	0	23
II	407028	407122	2	2	1	25	0	23
II	414754	415259	2	2	1	22	0	14
II	462210	462289	1	1	1	3	0	24
II	462430	462499	1	1	1	2	0	25
II	464644	478336	1	1	0	0	1	12
II	592417	592768	2	2	1	42	0	25
II	604515	604927	1	1	1	63	0	23
II	606281	606668	1	1	1	120	0	25
II	679943	680039	2	2	1	11	0	16
II	691967	692133	1	1	0	1	0	23
II	726918	727011	2	2	1	2	0	23
III	70940	70984	1	1	0	1	0	16
III	101634	101700	2	2	1	3	0	23
III	107034	107110	1	1	1	13	0	25
III	107192	107287	1	1	1	30	0	24
III	173116	173198	2	2	1	8	0	25
III	177907	178213	2	2	1	119	0	25
III	293940	293993	1	1	1	4	0	24
III	294240	294291	1	1	1	1	0	3
IV	65307	65377	1	1	1	1	0	23
IV	117667	118157	1	1	1	37	0	20
IV	122078	122176	1	1	0	3	0	14
IV	216158	216489	1	1	0	5	0	24
IV	217603	218007	1	1	1	25	0	25
IV	230020	230320	1	1	1	244	0	25
IV	239399	239509	2	2	1	10	0	21
IV	307334	307765	2	2	1	60	0	25
IV	308428	308792	1	1	1	45	0	19
IV	314045	314336	2	2	1	1	0	3
IV	322283	322703	1	1	1	114	0	25
IV	337525	337634	1	1	1	1	0	14
IV	340811	341219	2	2	0	2	0	22
IV	399362	399484	1	1	1	11	0	24
IV	427413	427520	1	1	0	0	1	22
IV	431387	431472	2	2	1	15	0	25
IV	491560	491898	1	1	1	57	0	24
IV	579479	580017	1	1	1	145	0	25
IV	629906	630173	1	1	1	5	0	24
IV	652781	653523	1	1	0	1	0	20
IV	715248	715358	2	2	1	4	0	22
IV	733703	733775	2	2	1	5	0	22
IV	1046279	1089249	1	1	0	0	1	12
IV	1073313	1073401	2	2	1	1	0	6
IV	1236843	1237608	1	1	1	13	0	25
IV	1266770	1266861	2	2	1	14	0	25
IV	1319618	1319697	2	2	1	6	0	23
IV	1319721	1319816	2	2	1	3	0	23
IV	1329747	1329815	1	1	0	1	0	22
IV	1329804	1329857	1	1	0	1	0	21
IV	1355237	1355550	2	2	1	39	0	20
IV	1359970	1360404	1	1	1	174	0	25
IV	1401801	1402184	1	1	1	66	1	25
IV	1450458	1450846	2	2	1	84	0	24
IV	1461009	1477593	2	2	0	1	0	12
V	131777	131899	1	1	1	3	0	22
V	148195	148282	1	1	1	2	0	16
V	158995	159087	2	2	1	3	0	17
V	166772	166874	2	2	1	10	0	23
V	269752	270148	2	2	1	11	76	25
V	289922	292360	1	1	0	0	1	12
V	306326	306791	1	1	1	97	0	23
V	307747	307848	1	1	1	9	0	24
V	307957	308067	1	1	1	6	0	22
V	348202	348276	2	2	1	1	0	15
V	362733	363092	1	1	0	2	0	12
V	396811	397281	1	1	1	143	1	25
V	423591	423951	1	1	0	9	0	24
V	432672	433196	1	1	1	3	0	6
V	446242	495299	1	1	0	0	1	24
V	448853	497904	1	1	0	0	2	20
VI	54378	54686	2	2	1	40	0	24
VI	63860	63973	2	2	1	1	0	11
VI	64592	64856	2	2	0	1	0	19
VI	64600	64920	2	2	1	4	0	24
VI	75840	76091	0	0	1	1	0	13
VI	203293	203386	2	2	1	2	0	12
VI	221268	221414	2	2	1	23	2	25
VI	223441	223771	2	2	0	17	1	24
VII	62132	62189	1	1	1	3	0	25
VII	72985	73137	2	2	0	1	0	23
VII	72989	73137	2	2	1	10	0	23
VII	148599	148966	2	2	0	2	0	20
VII	150184	150525	2	2	0	1	0	22
VII	249887	250086	1	1	1	1	0	23
VII	311016	311526	1	1	1	220	3	25
VII	346809	346893	2	2	1	2	0	16
VII	364965	365432	2	2	1	87	0	23
